embark on,시작하다,start,commence,begin,,
enterprise,(모험적인) 사업,undertaking,,,,
entertain, 즐겁게 하다, divert, amuse, please,,
enthrall,매혹하다,fascinate,captivate,enchant,mesmerize,
enthusiasm, 열정, eagerness, zeal, passion,fervor,ardor
enthusiastic, 열성적인,eager,ardent,zealous,passionate,
entice, 유혹하다, allure, tempt, seduce,,
entire, 전체의, whole,complete,total,,
entirely,완전히,wholly,totally,thoroughly,utterly,
entity,"개체, 실체",object,thing,individual,,
enunciate,분명하게 발음하다,articulate,phonate,pronounce,,
environment, 환경, setting, ecology,,,
episode,하나의 사건,event,occurrence,incident,happening,
equal, 동등한, equivalent, tantamount,,,
equilibrium,평형,balance,evenness,stability,symmetry,
equip,갖추어 주다, furnish, provide,,,
equivalent,동등한,equal,even,commensurate,,
equivocally, 애매하게, ambiguously,,,,
era, 시대, epoch, period, age, time,
eradicate, 근절하다, root up, extirpate, eliminate, remove,
erect,세우다,build,construct,set up,,
erect,"직립한, 수직의",upright,vertical,perpendicular,,
erode,"침식하다, 부식되다",wear away,,,,
erratic,"불규칙적인, 변덕스러운",irregular,inconsistent,,,
erroneous, 잘못된, incorrect, mistaken, false,,
erudite,학식있는,logical,learned,educated,knowledgeable,
escalate,"차츰 확대되다, 오르다",increase,intensify,mount,rise,
escape, 피하다, flee, evade, avoid,,
escape,도피,flight,freedom,,,
especially, 특히, notably, specifically, particulary,,
essential, 필수적인, vital,prerequisite, fundamental,indispensable,
essentially,"본래, 본질적으로",basically,primarily,originally,by nature,
establish, 설립하다, organize, constitute, set up, institute, found
established,확정된,certain,definite,,,
esteem, 존경하다, respect,revere,,,
esteem,중하게 여기다,prize,value,,,
estimate, 평가하다, assess,evaluate,judge,value,appraise
etch,"식각하다, 새기다",cut,carve,engrave,,
euphoria,행복감,extreme happiness,ecstacy,rapture,,
evaluate,평가하다,judge,assess,gauge,appraise,
even, 평평한,flat,level,horizontal,plane,
even, 한결같은, unchanging, constant,,,
evenly,"고르게, 일관되게",equally,uniformly,,,
eventually, 결국, in time, finally,ultimately,in due time,in the long run
evidence, 증거, proof,,,,
evidence,징후,sign,,,,
evident,분명한,obvious,apparent,manifest,plain,clear
evoke,"일깨우다, 자아내다", draw,arouse,elicit,educe,
evolve,서서히 발전하다,develop,progress,improve,,
exacerbate,더욱 심하게 하다,intensify,worsen,aggravate,,
exaggerate,과장하다,enlarge,overstate,embroider,hyperbolize,
exalted,고귀한,superior,high,praised,,
examine,정밀 조사하다, inspect, probe,scrutinize,investigate,
excavate,발굴하다,dig out,unearth,disinter,quarry,
exceed,능가하다, go beyond,surpass,have a greater number than,,
exceedingly,지나칠 정도로,extremely,excessively,surpassingly,,
excel," 능가하다, 빼어나다",be superior to,surpass,outdo,transcend,
exception,제외, exclusion,,,,
exceptional, 예외적인,abnormal,unusual,extraordinary,,
exceptionally,유난히,unusually,extraordinarily,abnormally,,
excessive, 지나친,extreme,undue,exorbitant,extravagant,
excite,"자극하다, 고무하다", stimulate, encourage,instigate,arouse,
exclude,배제하다, expel,leave out,,,
exclusively,오로지,only,entirely,solely,totally,
execute, 수행하다, perform, achieve,transact,,
exercise,"실행하다, 행사하다", practice, use,,,
exert, (힘) 발휘하다,apply,exercise,employ,wield,
exhaust,다 써버리다,use up,deplete,run out of,expend,consume
exhaust,지치게 하다,tire,weary,fatigue,,
exhibit,"보여주다, 나타내다",display,set forth,show,present,demonstrate
exhilarate,들뜨게 하다,excite,thrill,elate,,
exinguish,소멸시키다,abolish,destroy,,,
exorbitant, 과도한, expensive, excessive, extravagant, immoderate,
exotic,"기묘한, 못 보던",unusual,strange,weird,odd,
expand, 확장하다,increase,bloat,swell,enlarge,extend
expect,기대(예상)하다,predict,anticipate,await,reckon on,
expedience,편의,advantage,convenience,,,
expend,"(시간, 노력 등을) 쓰다, 들이다",use,spend,,,
expertise,전문 기술,art,craft,skill,mastery,
explain, 설명하다,account for, elucidate, explicate, clarify,
explicit, 명백한, clear,ubvious, unambiguous, definite,
exploit, 위업, feat, accomplishment,,,
exploit,이용하다,use,,,,
exponential,급격한,explosive,incremental,,,
expose, 드러내다,exhibit, subject,uncover, reveal,
exposition,"전시, 진열",exhibition,display,presentation,,
exposure,"폭로, 발각",disclosure,revelation,uncovering,unveiling,
express,"표명하다, 나타내다",communicate,represent,disclose,reveal,
expressly,"명백히, 확실히",definitely,clearly,,,
extant,현존하는,existing,living,remaining,surviving,
extend, (어떤거리까지)걸쳐있다,stretch,reach,range,,
extend,"확장하다, 늘리다", expand, enlarge,increase,prolong,lengthen
extensive, 넓은, wide, far-reaching,broad,commodious,
extent, 범위, scope,stretch,range,space,
exterminate,근절하다, extirpate, annihilate, eradicate,,
extinct, 멸종된,died out,vanished,defunct,,
extinguish,(불을) 끄다,put out,quench,,,
extol, 칭찬하다,applaud,laud,exalt,commend,
extract, 이끌어내다, derive,draw,extort,,
extraneous,"부차적인, 관계없는",unneeded,unnecessary,irrelevant,unrelated,
extraordinary,비범한, exceptional,unusual, remarkable, uncommon,
extreme,"극심한, 극단적인",intense,excessive,ultimate,unresonable,
exude,방출하다,release,emit,give off,,
fabricate, 만들어내다, make, build, construct, concoct,
facet,양상,aspect,,,,
facilitate,(일을)용이하게 하다,make more available(easier),,,,
facility,"재능, 소질",aptitude,skill,ability,,
faction, 파벌,side,coalition,group,ring,party
faculty, 능력, ability, capacity, aptitude,,
fade,"약해지다, 사라지다", wane, wither,vanish,wilt,
faint, 희미한, indistinct, dim, feeble,,
fairly,공정하게,impartially,,,,
fairly,꽤,reasonably,moderately,tolerably,pretty,
false, 잘못된, erroneous, wrong, incorrect,,
fame, 명성, renown, reputation, eminence, celebrity,honor
far-reaching,방대한,broad,extensive,widespread,,
far-sighted,현명한,wise,judicious,,,
fashion, 만들다, shape,create,make,fabricate,
fashion, 유행, style, vogue, mode,fad,
fashion,맞추다, fit, adjust, suit, adapt,
fashionable,유행하는,popular,up-to-date,trendy,,
fast, 빠른, quick, swift, rapid, fleet,
fatal, 치명적인, deadly, mortal, lethal,,
favor, 호의, kindness, good-will,,,
favor,찬성,approval,blessing,approbation,,
feasible,실행할 수 있는,possible,viable,workable,practicable,
feast, 축제, celebration,festival,fiesta,,
feast,배불리 먹다,eat,gorge,indulge,,
feat, 업적, achievement, accomplishment, exploit,,
feature, 특징, characteristic,,,,
federate,연합하다,unite,amagamate,consolidate,,
feeble, 연약한, weak, delicate, fragile, frail, unsubstantial
feed,"기르다, 부양하다", nourish,,,,
feed,먹이를 먹다,graze,,,,
ferry,수송하다,transfer,carry,convey,transport,
fertile, 비옥한,bountiful,productive,fecund,fruitful,
fervent, 열정적인,passionate,ardent,earnest,,
fervor, 열정, zeal, passion,ardor,enthusiasm,
fetter,"구속하다, 제한하다",hamper,shackle,manacle,restrain,
field, 분야, area,,,,
fierce, 사나운, furious, vicious, aggressive, ferocious,
fiery, 불같은, passionate,fervent,impetuous,,
figure,"수치, 합계",amount,number,,,
final,"마지막의, 궁극적인",terminal,ultimate,conclusive,,
finance,자금을 조달하다,pay for,,,,
financial, 재정상의, monetary, pecuniary,,,
fine," 미세한, 섬세한", slight, subtle, delicate,,
fine,가느다란,thin,,,,
finish, 끝내다,complete, terminate, end, conclude,
first and foremost,무엇보다도 먼저,above all,primarily,to begin with,,
fit,"적응시키다, 맞추다",adjust,customize,modify,shape,
flair,"재주, 재능", talent, aptitude, knack,,
flake,파편,fragment,bit,chip,,
flash, 번쩍이다, flame, flare, glare,,
flattering, 아부하는, complimentary,,,,
flavor,"맛, 풍미",savor,taste,relish,,
flavor,특징,nature,character,,,
flaw, 결점, defect, blemish, fault, failing, shortcoming
flawless,흠없는,perfect,impeccable,faultless,,
flee,"피하다, 도망하다",escape,evade,avoid,,
flexible,"융통성 있는, 유연한",pliable,adjustable,adaptable,plastic,
flight,탈출,escape,breakout,getaway,,
float,  뜨다, stay on the top,,,,
flock," 무리, 떼", group,herd, bevy,,
flood, 범람하다,inundate, deluge, overflow,,
floods of,"다수의, 쇄도하는",great number of,,,,
flourish, 번성하다, thrive, prosper,blossom,,
fluctuate,변동하다,change,vary,vacillate,sway,
fluctuation,변동,variance,variation,,,
fluster,혼란시키다, confuse,addle,befuddle,,
focal point,중심(지),central area,focus,,,
focus,집중하다,concentrate,center,zoom in,,
foliage, 잎, leaves,,,,
follow suit,따라하다,do the same thing,,,,
fonder,실패하다,fail,,,,
for the sake of,~를 위하여,for the purpose of,,,,
forage,찾아다니다,search,rummage,hunt,,
forbid, 금하다, ban, inhibit, prohibit,restrain,
force, 힘, strength, power, might, energy,
foremost,으뜸가는,most respected,preeminent,supreme,,
forestall,"미리 막다, 미리 손쓰다",prevent,hinder,,,
forge, 만들다,create, make, fabricate, fashion,
forge,~로 나아가다, drive,advance,,,
formative,"형성되는, 발달의",shaping,developmental,,,
formerly,이전에,previously,before,earlier,once,
formidable, 무서운, dreadful, threatening, fearful, frightful,
formulate,"(명확히, 체계적으로) 말하다",state,express,,,
fortify,강화하다,strengthen,reinforce,,,
foster,기르다,rear,breed,nourish,raise,
found,창설하다,create,set up,establish,,
foundation, 기초, basis,underpinning, base, ground,
fractious,성미가 까다로운,irritable,petulant,tetchy,fretful,
fragile,깨지기 쉬운,easily broken,breakable,,,
fragile,연약한,delicate,weak,,,
fragment,"조각, 부분",piece,particle,part,portion,
fragmentary,단편적인,incomplete,partial,fractional,,
fragrance, 향기, scent,,,,
fragrant, 향기로운, aromatic,perfumed, savory,,
frame, 만들다, make, shape, mold, produce,
frantic, 미친(광란의),hectic,desperate,frenzied,,
free, 해방시키다, liberate,deliver,emancipate,release,
frequent,빈번한,regular,common,customary,recurrent,
frighten, 두렵게 하다, scare, terrify, alarm,,
